surface_component_id,source_region_id,source_region_role,surface_role,proxy_kind,linked_internal_component_count,clean_direct_link_count,clean_direct_component_names,cross_region_semantic_component_names,blocked_component_names,bad_geometry_component_names,missing_existing_runtime_component_relations,runtime_relation_status,review_status,review_semantics,review_flags,expected_damage_modes,linked_internal_components
surface_nose_radome,nose_radome,outer_skin,radome,convex_hull,2,2,apg68_radar_array;iff_interrogator,,,,,runtime_relation_review_only_candidate,candidate_surface_component,candidate_surface_component,candidate_surface_component,perforation;surface_tearing;sensor_aperture_damage_candidate,apg68_radar_array;iff_interrogator
surface_forward_fuselage_skin,forward_fuselage,outer_skin,fuselage_skin,obb,3,3,cockpit_crew_station;inertial_navigation_unit;nose_avionics_bay,,,,,runtime_relation_review_only_candidate,candidate_surface_component,candidate_surface_component,candidate_surface_component,perforation;skin_tearing;cockpit_or_avionics_exposure_candidate,cockpit_crew_station;inertial_navigation_unit;nose_avionics_bay
surface_canopy,canopy,raised_outer_skin,canopy,convex_hull,1,1,dedicated_canopy_surface_component,,,,,runtime_relation_review_only_candidate,candidate_surface_component,candidate_surface_component,candidate_surface_component,transparent_surface_fracture;perforation;cockpit_exposure_candidate,dedicated_canopy_surface_component
surface_center_fuselage_skin,center_fuselage,outer_skin,fuselage_skin,obb,5,4,center_fuselage_fuel_cell;data_link_terminal;flight_control_computer;mission_computer,wing_spar_center,,,,runtime_relation_review_only_candidate,review_only_cross_region_semantic_hold,cross_region_semantic_hold,cross_region_semantic_hold,perforation;skin_tearing;fuel_or_avionics_exposure_candidate,center_fuselage_fuel_cell;data_link_terminal;flight_control_computer;mission_computer;wing_spar_center
surface_intake_lip_and_duct,intake,outer_skin,intake,convex_hull,3,1,dedicated_intake_lip_or_duct_component,engine_core,,,,runtime_relation_review_only_candidate,review_only_cross_region_boundary_candidate,cross_region_boundary_candidate_review_only,cross_region_boundary_candidate_review_only;expected_component_bound_elsewhere,intake_lip_damage;perforation;airflow_path_damage_candidate,dedicated_intake_lip_or_duct_component;engine_core;engine_fuel_control_unit
surface_aft_engine_bay_skin,aft_fuselage_engine,outer_skin,engine_bay_skin,obb,4,3,electrical_power_bus;engine_fuel_control_unit;tail_hydraulic_pump,engine_core,,,,runtime_relation_review_only_candidate,review_only_cross_region_boundary_candidate,cross_region_boundary_candidate_review_only,cross_region_boundary_candidate_review_only,perforation;skin_tearing;engine_bay_exposure_candidate,electrical_power_bus;engine_core;engine_fuel_control_unit;tail_hydraulic_pump
surface_engine_nozzle,engine_nozzle,outer_skin,nozzle,obb,3,1,afterburner_nozzle,engine_core,,,,runtime_relation_review_only_candidate,review_only_cross_region_boundary_candidate,cross_region_boundary_candidate_review_only,cross_region_boundary_candidate_review_only;expected_component_bound_elsewhere,nozzle_petal_damage;perforation;exhaust_area_change_candidate,afterburner_nozzle;engine_core;engine_fuel_control_unit
surface_left_wing_skin,left_wing,lifting_surface,lifting_surface,thin_prism,4,2,left_aileron_actuator;left_wing_fuel_cell,wing_spar_center,,,,runtime_relation_review_only_candidate,review_only_cross_region_semantic_hold,cross_region_semantic_hold,cross_region_semantic_hold;expected_component_bound_elsewhere,perforation;skin_tearing;surface_area_loss;control_surface_damage_candidate,left_aileron_actuator;left_leading_edge_flap_actuator;left_wing_fuel_cell;wing_spar_center
surface_right_wing_skin,right_wing,lifting_surface,lifting_surface,thin_prism,4,2,right_aileron_actuator;right_wing_fuel_cell,wing_spar_center,,,,runtime_relation_review_only_candidate,review_only_cross_region_semantic_hold,cross_region_semantic_hold,cross_region_semantic_hold;expected_component_bound_elsewhere,perforation;skin_tearing;surface_area_loss;control_surface_damage_candidate,right_aileron_actuator;right_leading_edge_flap_actuator;right_wing_fuel_cell;wing_spar_center
surface_left_wing_root_fairing,left_wing_root,structural_transition,structural_transition,convex_hull,3,1,left_leading_edge_flap_actuator,wing_spar_center,,,,runtime_relation_review_only_candidate,review_only_cross_region_semantic_hold,cross_region_semantic_hold,cross_region_semantic_hold;expected_component_bound_elsewhere,perforation;skin_tearing;spar_or_fuel_cell_exposure_candidate,left_leading_edge_flap_actuator;left_wing_fuel_cell;wing_spar_center
surface_right_wing_root_fairing,right_wing_root,structural_transition,structural_transition,convex_hull,3,1,right_leading_edge_flap_actuator,wing_spar_center,,,,runtime_relation_review_only_candidate,review_only_cross_region_semantic_hold,cross_region_semantic_hold,cross_region_semantic_hold;expected_component_bound_elsewhere,perforation;skin_tearing;spar_or_fuel_cell_exposure_candidate,right_leading_edge_flap_actuator;right_wing_fuel_cell;wing_spar_center
surface_left_horizontal_tail_skin,left_horizontal_tail,tail_surface,tail_surface,thin_prism,1,1,left_horizontal_tail_actuator_or_surface_component,,,,,runtime_relation_review_only_candidate,candidate_surface_component,candidate_surface_component,candidate_surface_component,perforation;skin_tearing;surface_area_loss;control_surface_damage_candidate,left_horizontal_tail_actuator_or_surface_component
surface_right_horizontal_tail_skin,right_horizontal_tail,tail_surface,tail_surface,thin_prism,1,1,right_horizontal_tail_actuator_or_surface_component,,,,,runtime_relation_review_only_candidate,candidate_surface_component,candidate_surface_component,candidate_surface_component,perforation;skin_tearing;surface_area_loss;control_surface_damage_candidate,right_horizontal_tail_actuator_or_surface_component
surface_vertical_tail_skin,vertical_tail,tail_surface,tail_surface,thin_prism,1,1,rudder_actuator,,,,,runtime_relation_review_only_candidate,candidate_surface_component,candidate_surface_component,candidate_surface_component,perforation;skin_tearing;surface_area_loss;rudder_damage_candidate,rudder_actuator
