component_name,system,component_role,prior_shape,prior_axis,shape_promotion_status,size_basis,size_evidence_level,nominal_dimensions_m,size_source_urls,bound_region_id,constraint_region_ids,constraint_mode,constraint_bounds_source,placement_bounds_source,constraint_status,original_aabb_containment_fraction,shrink_scale,required_fit_scale,size_preserved,center_shift_m,airframe_projection_center_shift_m,placement_outside_fraction,pre_constraint_outside_fraction,post_constraint_outside_fraction,constrained_center_m,constrained_span_m,component_review_semantics,runtime_projection_status
apg68_radar_array,radar,sensor_aperture_receiver,ellipsoid,,r21_promoted_from_latest_subcomponent_candidate,public_related_apg66_antenna_dimensions,public_related_family_dimension_not_apg68_exact,0.1016;0.7366;0.4826,https://www.radartutorial.eu/19.kartei/08.airborne/karte018.en.html;https://www.forecastinternational.com/archive/disp_pdf.cfm?DACH_RECNO=1039,nose_radome,nose_radome;forward_fuselage,multi_region_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,4.187559;0.0;-0.52538,0.1016;0.7366;0.4826,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
cockpit_crew_station,cockpit,crew_volume_receiver,ellipsoid,,r21_promoted_from_latest_subcomponent_candidate,public_aces_ii_seat_width_plus_crew_envelope_estimate,public_partial_dimension_engineering_envelope,1.25;0.508;1.15,https://www.ejectionsite.com/acesii.htm;https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104505/f-16-fighting-falcon/,forward_fuselage,canopy;forward_fuselage,multi_region_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,placed_inside_airframe_exceeds_parent_shell_review,0.64554,1.0,1.0,True,0.0,0.0,0.35489,0.0,0.0,3.787559;0.0;-0.62538,1.25;0.508;1.15,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
dedicated_canopy_surface_component,cockpit,surface_receiver,ellipsoid,,not_promoted_from_subcomponent_shape_candidate,mesh_semantic_surface_span,asset_mesh_derived_surface_not_public_engineering_dimension,1.496;0.66;0.196,examples/viz/web_viz/static/assets/air/audit/f16_c_falcon_carlos_maciel/gltf/scene.gltf,canopy,canopy,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,3.41;0.0;-0.3,1.496;0.66;0.196,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
nose_avionics_bay,avionics,avionics_bay_receiver,obb,,not_promoted_from_subcomponent_shape_candidate,standard_half_atr_avionics_enclosure_proxy,standard_enclosure_proxy_not_true_f16_bay,0.320548;0.123952;0.14351,https://www.elma.com/en/products/systems/atr-cases/,forward_fuselage,forward_fuselage,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.754172,0.0,0.0,0.0,5.287559;0.0;-0.82538,0.320548;0.123952;0.14351,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
iff_interrogator,avionics,small_avionics_receiver,ellipsoid,,r18_promoted_from_subcomponent_shape_candidate,public_apx_family_lru_dimensions,public_lru_dimension_related_f16_iff_family,0.3683;0.1524;0.209804,https://www.baesystems.com/en/product/apx-125-advanced-identification-friend-or-foe,nose_radome,nose_radome,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,placed_inside_airframe_exceeds_parent_shell_review,1.0,1.0,1.0,True,0.0,0.601971,0.06876,0.0,0.0,5.287559;0.0;-0.82538,0.3683;0.1524;0.209804,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
center_fuselage_fuel_cell,fuel,fuel_cell_receiver,ellipsoid,,r21_promoted_from_latest_subcomponent_candidate,f16_internal_fuel_capacity_partition_estimate,public_total_capacity_partition_estimate,2.6;0.9;0.72,https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104505/f-16-fighting-falcon/,center_fuselage,center_fuselage,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,placed_inside_airframe_exceeds_parent_shell_review,0.95175,1.0,1.0,True,0.0,0.0,0.23433,0.0,0.0,-0.278842;0.0;-0.600971,2.6;0.9;0.72,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
mission_computer,avionics,avionics_box_receiver,obb,,not_promoted_from_subcomponent_shape_candidate,standard_half_atr_avionics_enclosure_proxy,standard_enclosure_proxy_pending_f16_mmc_dimensions,0.320548;0.123952;0.14351,https://www.elma.com/en/products/systems/atr-cases/,center_fuselage,center_fuselage,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.643443,0.0,0.0,0.0,1.68794;0.0;-0.365384,0.320548;0.123952;0.14351,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
data_link_terminal,data_link,small_avionics_receiver,obb,,not_promoted_from_subcomponent_shape_candidate,public_mids_lvt_terminal_dimensions,public_lru_dimension,0.3429;0.1905;0.19304,https://www.datalinksolutions.net/products/mids-lvt/,center_fuselage,center_fuselage,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,placed_inside_airframe_exceeds_parent_shell_review,0.58421,1.0,1.0,True,0.0,1.335788,0.25442,0.0,0.0,-1.29108;0.0;-0.985042,0.3429;0.1905;0.19304,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
flight_control_computer,flight_control,avionics_box_receiver,obb,,not_promoted_from_subcomponent_shape_candidate,standard_half_atr_avionics_enclosure_proxy,standard_enclosure_proxy_pending_f16_flcc_dimensions,0.320548;0.123952;0.14351,https://www.elma.com/en/products/systems/atr-cases/,center_fuselage,center_fuselage,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,1.078304,0.0,0.0,0.0,-0.064081;0.45;-0.726398,0.320548;0.123952;0.14351,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
inertial_navigation_unit,navigation,small_avionics_receiver,ellipsoid,,r18_promoted_from_subcomponent_shape_candidate,public_honeywell_h764g_egi_dimensions,public_lru_dimension,0.24892;0.1778;0.1778,https://aerospace.honeywell.com/us/en/products-and-services/product/hardware-and-systems/navigation-and-radios/h-764g-embedded-gps-inertial-navigation-system,forward_fuselage,forward_fuselage,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,0.92368,1.0,1.0,True,0.0,0.03533,0.0,0.0,0.0,2.6;0.0;0.01467,0.24892;0.1778;0.1778,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
dedicated_intake_lip_or_duct_component,engine,duct_receiver,ellipsoid,,not_promoted_from_subcomponent_shape_candidate,mesh_semantic_intake_region_measurement,asset_mesh_derived_duct_dimension_not_public_engineering_dimension,1.0;0.58;1.1,examples/viz/web_viz/static/assets/air/audit/f16_c_falcon_carlos_maciel/gltf/scene.gltf,intake,intake,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.0,0.0,0.0,0.0,3.39;0.0;-0.64,1.0;0.58;1.1,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
electrical_power_bus,avionics,electrical_bus_receiver,capsule,x,not_promoted_from_subcomponent_shape_candidate,engineering_proxy_no_public_f16_bus_dimensions,low_confidence_engineering_proxy,0.45;0.06;0.06,,aft_fuselage_engine,aft_fuselage_engine,single_parent_placement_source_region_bounds_whole_airframe_constraint,whole_airframe_source_region_union_bounds,source_region_bounds,already_inside_whole_airframe,1.0,1.0,1.0,True,0.0,0.567915,0.0,0.0,0.0,-2.8;-1e-06;-0.296449,0.45;0.06;0.06,candidate_direct_region_binding,runtime_schema_candidate_not_activated_prior_shape_review_required
