parent_semantic_component_id,parent_surface_component_id,source_region_id,volume_component_role,geometry_primitive,bound_receiver_count,extra_receiver_slot_count,primary_receiver_component_name,extra_receiver_component_names,cross_region_held_receiver_names,cross_region_held_segment_overlay_count,cross_region_held_segment_overlay_ids,child_receiver_prior_shapes,held_segment_count,parent_receiver_handoff_status,runtime_projection_status
semantic_nose_radome_volume,surface_nose_radome,nose_radome,radome_volume,convex_hull,2,1,apg68_radar_array,iff_interrogator,,0,,apg68_radar_array:ellipsoid:segments=0;iff_interrogator:ellipsoid:segments=0,0,direct_receivers_parse_ready,review_only_visual_layout_not_runtime_activation
semantic_forward_fuselage_skin_volume,surface_forward_fuselage_skin,forward_fuselage,forward_fuselage_skin_volume,obb,3,2,cockpit_crew_station,nose_avionics_bay;inertial_navigation_unit,,0,,cockpit_crew_station:ellipsoid:segments=0;nose_avionics_bay:obb:segments=0;inertial_navigation_unit:ellipsoid:segments=0,0,direct_receivers_parse_ready,review_only_visual_layout_not_runtime_activation
semantic_canopy_surface_volume,surface_canopy,canopy,canopy_surface_volume,convex_hull,1,0,dedicated_canopy_surface_component,,,0,,dedicated_canopy_surface_component:ellipsoid:segments=0,0,direct_receivers_parse_ready,review_only_visual_layout_not_runtime_activation
semantic_center_fuselage_skin_volume,surface_center_fuselage_skin,center_fuselage,center_fuselage_skin_volume,obb,5,4,center_fuselage_fuel_cell,mission_computer;data_link_terminal;flight_control_computer;wing_spar_center,wing_spar_center,0,,center_fuselage_fuel_cell:ellipsoid:segments=0;mission_computer:obb:segments=0;data_link_terminal:obb:segments=0;flight_control_computer:obb:segments=0;wing_spar_center:capsule:segments=5,5,direct_receivers_parse_ready_cross_region_receivers_held,review_only_visual_layout_not_runtime_activation
semantic_intake_lip_and_duct_volume,surface_intake_lip_and_duct,intake,intake_lip_and_duct_volume,convex_hull,1,0,dedicated_intake_lip_or_duct_component,,,0,,dedicated_intake_lip_or_duct_component:ellipsoid:segments=0,0,direct_receivers_parse_ready_cross_region_receivers_held,review_only_visual_layout_not_runtime_activation
semantic_aft_engine_bay_skin_volume,surface_aft_engine_bay_skin,aft_fuselage_engine,aft_engine_bay_skin_volume,obb,4,3,electrical_power_bus,engine_core;tail_hydraulic_pump;engine_fuel_control_unit,engine_core,0,,electrical_power_bus:capsule:segments=0;engine_core:capsule:segments=3;tail_hydraulic_pump:obb:segments=0;engine_fuel_control_unit:obb:segments=0,3,direct_receivers_parse_ready_cross_region_receivers_held,review_only_visual_layout_not_runtime_activation
semantic_engine_nozzle_volume,surface_engine_nozzle,engine_nozzle,engine_nozzle_volume,obb,1,0,afterburner_nozzle,,,1,engine_core_afterburner_segment,afterburner_nozzle:ellipsoid:segments=0,0,direct_receivers_parse_ready_cross_region_receivers_held,review_only_visual_layout_not_runtime_activation
semantic_left_wing_skin_volume,surface_left_wing_skin,left_wing,left_wing_skin_volume,thin_prism,2,1,left_wing_fuel_cell,left_aileron_actuator,,1,wing_spar_center_left_inner_wing_segment,left_wing_fuel_cell:ellipsoid:segments=0;left_aileron_actuator:capsule:segments=0,0,direct_receivers_parse_ready_cross_region_receivers_held,review_only_visual_layout_not_runtime_activation
semantic_right_wing_skin_volume,surface_right_wing_skin,right_wing,right_wing_skin_volume,thin_prism,2,1,right_wing_fuel_cell,right_aileron_actuator,,1,wing_spar_center_right_inner_wing_segment,right_wing_fuel_cell:ellipsoid:segments=0;right_aileron_actuator:capsule:segments=0,0,direct_receivers_parse_ready_cross_region_receivers_held,review_only_visual_layout_not_runtime_activation
semantic_left_wing_root_fairing_volume,surface_left_wing_root_fairing,left_wing_root,left_wing_root_fairing_volume,convex_hull,1,0,left_leading_edge_flap_actuator,,,1,wing_spar_center_left_root_segment,left_leading_edge_flap_actuator:capsule:segments=0,0,direct_receivers_parse_ready_cross_region_receivers_held,review_only_visual_layout_not_runtime_activation
semantic_right_wing_root_fairing_volume,surface_right_wing_root_fairing,right_wing_root,right_wing_root_fairing_volume,convex_hull,1,0,right_leading_edge_flap_actuator,,,1,wing_spar_center_right_root_segment,right_leading_edge_flap_actuator:capsule:segments=0,0,direct_receivers_parse_ready_cross_region_receivers_held,review_only_visual_layout_not_runtime_activation
semantic_left_horizontal_tail_skin_volume,surface_left_horizontal_tail_skin,left_horizontal_tail,left_horizontal_tail_skin_volume,thin_prism,1,0,left_horizontal_tail_actuator_or_surface_component,,,0,,left_horizontal_tail_actuator_or_surface_component:capsule:segments=0,0,direct_receivers_parse_ready,review_only_visual_layout_not_runtime_activation
semantic_right_horizontal_tail_skin_volume,surface_right_horizontal_tail_skin,right_horizontal_tail,right_horizontal_tail_skin_volume,thin_prism,1,0,right_horizontal_tail_actuator_or_surface_component,,,0,,right_horizontal_tail_actuator_or_surface_component:capsule:segments=0,0,direct_receivers_parse_ready,review_only_visual_layout_not_runtime_activation
semantic_vertical_tail_skin_volume,surface_vertical_tail_skin,vertical_tail,vertical_tail_skin_volume,thin_prism,1,0,rudder_actuator,,,0,,rudder_actuator:capsule:segments=0,0,direct_receivers_parse_ready,review_only_visual_layout_not_runtime_activation
