source_id,tier,publisher,author_or_maintainer,title,url,domain,equipment,configuration,provenance_status,rights_status,retrieval_status,authority_status,scope_status,residual_status,manifest_path
p5-be-weapon-scarl-fn,B,FN Herstal,,Technical data FN SCAR-L Mk2,https://fnherstal.com/app/uploads/sites/2/technical-data-fn-scar-l-mk2-2.pdf,weapon,FN SCAR-L Mk2 STD,"FN SCAR-L Mk2 standard 14.5-inch barrel configuration; CQC is retained only as a source-listed alternative, not merged into the STD record.",manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/fn_herstal/p5-be-weapon-scarl-fn/manifest.md
p5-ca-ground-m777-canada,A,Canadian Army,,M777 Howitzer,https://www.canada.ca/en/army/services/equipment/weapons/m777-howitzer.html,ground,M777,M777 lightweight towed howitzer; M777ER and national fire-control kits are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/canada_army/p5-ca-ground-m777-canada/manifest.md
p5-ca-weapon-m72-law,A,Canadian Army,,M72 Light Anti-Tank Weapon,https://www.canada.ca/en/army/services/equipment/weapons/m72-law.html/1000,weapon,M72A5-C1 LAW,M72A5-C1 HEAT self-contained throwaway weapon; earlier M72A1-A3 and M72A7 differences are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/canada_army/p5-ca-weapon-m72-law/manifest.md
p5-cn-air-h6k-migflug,C,migflug.com,migflug.com editorial; site publishes aircraft history and technical data pages,"Xian H-6 — History, Specs and Stories",https://migflug.com/aircraft/xian-h-6,air,H-6 / H-6K,"The page separates the baseline H-6 from the H-6K rebuild, which is the variant this leaf records. The H-6K differs from earlier marks in engine type, structure, crew size and maximum weight.",manifest+retrieval+retention,not_recorded,no_record,non-authoritative,complete,open,raw/sources/migflug/p5-cn-air-h6k-migflug/manifest.md
p5-cn-air-h6k-mnd,A,PRC Ministry of National Defense,,,http://eng.mod.gov.cn/xb/News_213114/TopStories/16232488.html,air,H-6 / H-6K,,manifest+retention,not_recorded,not_recorded,non-authoritative,partial,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-h6k-mnd/manifest.md
p5-cn-air-h6k-redstar,C,RedStar.gr aviation reference,,H-6K Strategic bomber,https://www.redstar.gr/en/other/world-aviation/air-force-of-the-peoples-liberation-army-of-china/xian-aircraft-industry-corparation-xac/h-6k-strategic-bomber.html,air,H-6 / H-6K,H-6K strategic bomber. Values for earlier H-6 marks and the H-6J/H-6N derivatives are not merged.,manifest+retrieval+retention,not_recorded,success,non-authoritative,complete,open,raw/sources/redstar/p5-cn-air-h6k-redstar/manifest.md
p5-cn-air-j10c-armyrecognition,C,Army Recognition,no individual author named; Army Recognition editorial team,Chengdu J-10 technical data,https://www.armyrecognition.com/military-products/air/fighter/chengdu-j-10,air,J-10C,J-10C single-seat AESA/PL-15-era modernization; base J-10A and two-seat J-10S data are not merged. The page is a J-10 family reference and J-10C-specific fields are identified as estimates.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/army_recognition/p5-cn-air-j10c-armyrecognition/manifest.md
p5-cn-air-j10c-mnd,A,PRC Ministry of National Defense,,China''s fighter jet J-10C begins combat duty,http://eng.mod.gov.cn/xb/News_213114/TopStories/4809665.html,air,J-10C,J-10C combat-duty status only; technical performance is supplemented by the Tier C Army Recognition source.,manifest+retention,not_recorded,not_recorded,non-authoritative,complete,open,raw/sources/prc_ministry_of_national_defense/p5-cn-air-j10c-mnd/manifest.md
p5-cn-air-j11b-dvids,C,"Defense Visual Information Distribution Service (DVIDS), United States Department of Defense imagery service",DVIDS imagery contributor notes,Shenyang J-11 right side orthographic view,https://www.dvidshub.net/image/9081295/shenyang-j-11-right-side-orthographic-view-redo,air,J-11 / J-11B and J-11BS,"The imagery record describes the J-11 family and its engine fits across variants, including the J-11B and J-11BG.",manifest+retrieval+retention,not_recorded,partial,non-authoritative,complete,open,raw/sources/dvids/p5-cn-air-j11b-dvids/manifest.md
p5-cn-air-j11b-encyclopedic,C,"English-language encyclopedic aviation entry, Shenyang J-11 article",article editors,Shenyang J-11 — specifications,https://en.wikipedia.org/wiki/Shenyang_J-11,air,J-11 / J-11B and J-11BS,The page covers the J-11 family and its two-seat derivatives. The specifications block is stated for the single-seat J-11B airframe and the article describes the J-11BS as the twin-seat derivative.,manifest+retrieval+retention,not_recorded,partial,non-authoritative,complete,open,raw/sources/wikipedia/p5-cn-air-j11b-encyclopedic/manifest.md
