semantic_component_id,surface_component_id,source_region_id,volume_component_role,runtime_system,geometry_primitive,direct_receiver_components,cross_region_receiver_components,receiver_handoff_status,runtime_projection_status,support_center_m,support_span_m,mesh_region_vertex_count,surface_review_semantics
semantic_nose_radome_volume,surface_nose_radome,nose_radome,radome_volume,airframe_radome,convex_hull,apg68_radar_array;iff_interrogator,,direct_receivers_parse_ready,runtime_schema_parse_ready_candidate_not_activated,6.293264;0.0;-0.664096,2.288185;0.5568;0.452984,94,candidate_surface_component
semantic_forward_fuselage_skin_volume,surface_forward_fuselage_skin,forward_fuselage,forward_fuselage_skin_volume,airframe_skin,obb,cockpit_crew_station;inertial_navigation_unit;nose_avionics_bay,,direct_receivers_parse_ready,runtime_schema_parse_ready_candidate_not_activated,3.84379;0.0;0.023302,3.038855;1.496;1.435379,986,candidate_surface_component
semantic_canopy_surface_volume,surface_canopy,canopy,canopy_surface_volume,canopy_surface,convex_hull,dedicated_canopy_surface_component,,direct_receivers_parse_ready,runtime_schema_parse_ready_candidate_not_activated,3.410359;0.0;-0.296449,2.172374;0.834503;0.738032,2076,candidate_surface_component
semantic_center_fuselage_skin_volume,surface_center_fuselage_skin,center_fuselage,center_fuselage_skin_volume,airframe_skin,obb,center_fuselage_fuel_cell;data_link_terminal;flight_control_computer;mission_computer,wing_spar_center,direct_receivers_parse_ready_cross_region_receivers_held,runtime_schema_parse_ready_candidate_not_activated,0.26379;0.0;0.0,4.124161;1.496;1.394369,1099,cross_region_semantic_hold
semantic_intake_lip_and_duct_volume,surface_intake_lip_and_duct,intake,intake_lip_and_duct_volume,intake_geometry,convex_hull,dedicated_intake_lip_or_duct_component,engine_core,direct_receivers_parse_ready_cross_region_receivers_held,runtime_schema_parse_ready_candidate_not_activated,3.390977;-0.01072;-0.64168,1.116113;0.482742;1.081168,2514,cross_region_boundary_candidate_review_only
semantic_aft_engine_bay_skin_volume,surface_aft_engine_bay_skin,aft_fuselage_engine,aft_engine_bay_skin_volume,airframe_skin,obb,electrical_power_bus;engine_fuel_control_unit;tail_hydraulic_pump,engine_core,direct_receivers_parse_ready_cross_region_receivers_held,runtime_schema_parse_ready_candidate_not_activated,-3.693053;0.0;-0.454381,4.196514;1.584;1.414874,738,cross_region_boundary_candidate_review_only
semantic_engine_nozzle_volume,surface_engine_nozzle,engine_nozzle,engine_nozzle_volume,engine_nozzle_geometry,obb,afterburner_nozzle,engine_core,direct_receivers_parse_ready_cross_region_receivers_held,runtime_schema_parse_ready_candidate_not_activated,-6.256255;-1e-06;-1.007126,1.39047;0.985461;1.121954,768,cross_region_boundary_candidate_review_only
semantic_left_wing_skin_volume,surface_left_wing_skin,left_wing,left_wing_skin_volume,wing_skin,thin_prism,left_aileron_actuator;left_wing_fuel_cell,wing_spar_center,direct_receivers_parse_ready_cross_region_receivers_held,runtime_schema_parse_ready_candidate_not_activated,-1.594213;-2.869258;-0.985043,3.693411;3.425854;0.083749,120,cross_region_semantic_hold
semantic_right_wing_skin_volume,surface_right_wing_skin,right_wing,right_wing_skin_volume,wing_skin,thin_prism,right_aileron_actuator;right_wing_fuel_cell,wing_spar_center,direct_receivers_parse_ready_cross_region_receivers_held,runtime_schema_parse_ready_candidate_not_activated,-1.594207;2.869209;-0.985043,3.693402;3.425925;0.083749,118,cross_region_semantic_hold
semantic_left_wing_root_fairing_volume,surface_left_wing_root_fairing,left_wing_root,left_wing_root_fairing_volume,wing_root_fairing,convex_hull,left_leading_edge_flap_actuator,wing_spar_center,direct_receivers_parse_ready_cross_region_receivers_held,runtime_schema_parse_ready_candidate_not_activated,-1.092842;-0.85;-0.7107,2.975545;0.864;0.587201,180,cross_region_semantic_hold
semantic_right_wing_root_fairing_volume,surface_right_wing_root_fairing,right_wing_root,right_wing_root_fairing_volume,wing_root_fairing,convex_hull,right_leading_edge_flap_actuator,wing_spar_center,direct_receivers_parse_ready_cross_region_receivers_held,runtime_schema_parse_ready_candidate_not_activated,-1.092842;0.85;-0.7107,2.975545;0.864;0.587201,180,cross_region_semantic_hold
semantic_left_horizontal_tail_skin_volume,surface_left_horizontal_tail_skin,left_horizontal_tail,left_horizontal_tail_skin_volume,tail_surface_skin,thin_prism,left_horizontal_tail_actuator_or_surface_component,,direct_receivers_parse_ready,runtime_schema_parse_ready_candidate_not_activated,-6.002281;-1.793586;-1.05304,2.637858;2.028042;0.221551,216,candidate_surface_component
semantic_right_horizontal_tail_skin_volume,surface_right_horizontal_tail_skin,right_horizontal_tail,right_horizontal_tail_skin_volume,tail_surface_skin,thin_prism,right_horizontal_tail_actuator_or_surface_component,,direct_receivers_parse_ready,runtime_schema_parse_ready_candidate_not_activated,-6.002281;1.793584;-1.05304,2.637858;2.028043;0.221551,216,candidate_surface_component
semantic_vertical_tail_skin_volume,surface_vertical_tail_skin,vertical_tail,vertical_tail_skin_volume,tail_surface_skin,thin_prism,rudder_actuator,,direct_receivers_parse_ready,runtime_schema_parse_ready_candidate_not_activated,-6.600274;-1e-06;1.168732,1.739826;0.190515;2.073898,175,candidate_surface_component
