candidate_id,domain,era,class,family,variant,priority,status,parameter_targets,source_targets,notes
eq-us-ground-m1a2sepv3,ground,current,main_battle_tank,M1 Abrams,M1A2 SEP v3,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,US Army;PEO GCS;GDLS;official manual,All target fields filled; public source conflicts and classified armour remain cross-check items
eq-us-ground-m1a1,ground,cold_war,main_battle_tank,M1 Abrams,M1A1,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,US Army;Army handbook;technical manual,All target fields filled; public range/mass/geometry conflicts and armour details remain cross-check items
eq-us-ground-m2a4,ground,current,infantry_fighting_vehicle,Bradley,M2A4,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;payload;armament;protection,US Army;PEO GCS;official manual,All target fields filled; troop-seat and TOW stowage differences remain cross-check items
eq-us-ground-m2a2ods,ground,post_cold_war,infantry_fighting_vehicle,Bradley,M2A2 ODS,P2,parameter_complete,geometry;mass;powerpack;mobility;crew;payload;armament;protection,US Army;Army handbook,All target fields filled; dimensions, mass, seating and fording convention differences remain cross-check items
eq-de-ground-leopard2a7,ground,current,main_battle_tank,Leopard 2,Leopard 2A7,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,Bundeswehr;KMW technical data,All target fields filled; A7/A7V and customer-fit differences remain cross-check items
eq-de-ground-leopard2a4,ground,cold_war,main_battle_tank,Leopard 2,Leopard 2A4,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,Bundeswehr;German technical references,All target fields filled; national package and armour details remain cross-check items
eq-gb-ground-challenger2,ground,current,main_battle_tank,Challenger,Challenger 2,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,UK MoD;British Army,All target fields filled; range, theatre-kit and ammunition differences remain cross-check items
eq-gb-ground-chieftainmk11,ground,cold_war,main_battle_tank,Chieftain,Mk 11,P2,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,UK MoD;British Army historical manuals,All target fields filled; engine submark, ammunition and fording kit remain cross-check items
eq-ru-ground-t90m,ground,current,main_battle_tank,T-90,T-90M,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,Russian MoD;manufacturer data;professional assessment,All target fields filled; retrievable Tier C source replaces 404 pointer; cross-check pending
eq-ru-ground-t72b3,ground,post_cold_war,main_battle_tank,T-72,T-72B3,P1,parameter_complete,geometry;mass;powerpack;mobility;crew;armament;protection,Russian MoD;technical references,All target fields filled; retrievable Tier C source replaces 404 pointer; cross-check pending
